     DEBUG |   64 | KB4IT                | 31/12/2025 12:31:08.862 | KB4IT 0.7.24+build.106
     DEBUG |   65 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[SYS] PYTHON[3.14.2 (main, Dec  8 2025, 02:53:13) [GCC 13.3.0]]
     DEBUG |   66 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[SYS] PLATFORM[Ubuntu 24.04.3 LTS]
     DEBUG |   88 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[CMDLINE] PARAM[log_level] VALUE[DEBUG]
     DEBUG |   88 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[CMDLINE] PARAM[action] VALUE[build]
     DEBUG |   88 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[CMDLINE] PARAM[config] VALUE[config/blog.json]
     DEBUG |   88 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[CMDLINE] PARAM[force] VALUE[False]
     DEBUG |   88 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[CMDLINE] PARAM[workers] VALUE[2]
     DEBUG |  141 | KB4IT                | 31/12/2025 12:31:08.862 | CONF[ENV] PID[2947] FILE[/home/runner/.kb4it/var/kb4it.pid]
     DEBUG |   65 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] CONFIG_FILE[ VALUE[config/blog.json]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[datatable] VALUE[['Updated', 'Title', 'Topic']]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[events] VALUE[['Post', 'Note', 'Bookmark']]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[force] VALUE[True]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[git] VALUE[True]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[git_branch] VALUE[main]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[git_path] VALUE[source]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[git_repo] VALUE[blog]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[git_server] VALUE[https://github.com]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[git_user] VALUE[t00m]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[ignored_keys] VALUE[['Updated']]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[logo] VALUE[resources/themes/blog/images/logo.svg]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[logo_alt] VALUE[]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[menu] VALUE[['Author', 'Category']]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[sort] VALUE[Updated]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.863 | CONF[REPO] PARAM[source] VALUE[source]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[target] VALUE[docs]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[theme] VALUE[blog]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[timeline] VALUE[['Post', 'Note']]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[tagline] VALUE[My public notes]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[title] VALUE[t00mterías]
     DEBUG |   67 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[webserver] VALUE[True]
     DEBUG |   85 | Backend              | 31/12/2025 12:31:08.864 | CONF[REPO] PARAM[force] set to True
     DEBUG |  135 | Backend              | 31/12/2025 12:31:08.864 | CONF[APP] LOG_FILE[/home/runner/work/blog/blog/var/log/homerunnerworkblogblogsource.log]
     DEBUG |  198 | Backend              | 31/12/2025 12:31:08.865 | [CONF] - Current kbdict entries: 2
      INFO |   99 | Workflow             | 31/12/2025 12:31:08.865 | Building a website for repository 't00mterías'
      INFO |  100 | Workflow             | 31/12/2025 12:31:08.865 | Using theme 'blog'
      INFO |  101 | Workflow             | 31/12/2025 12:31:08.865 | Check environment
     DEBUG |  288 | Backend              | 31/12/2025 12:31:08.865 | [CHECKS] - START
