     DEBUG |   51 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - Temporary KB4IT Log file: /home/runner/.kb4it/var/log/kb4it.log.139909246240910890
     DEBUG |   52 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - KB4IT 0.7.27+build.56
     DEBUG |   53 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[SYS] PYTHON[3.14.2 (main, Dec  8 2025, 02:53:13) [GCC 13.3.0]]
     DEBUG |   54 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[SYS] PLATFORM[Ubuntu 24.04.3 LTS]
     DEBUG |   55 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[ENV] GPATH[ROOT] DIR[/opt/pipx/venvs/kb4it/lib/python3.14/site-packages/kb4it]
     DEBUG |   56 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[ENV] LPATH[ROOT] DIR[/home/runner/.kb4it]
     DEBUG |   76 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[CMDLINE] PARAM[log_level] VALUE[INFO]
     DEBUG |   76 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[CMDLINE] PARAM[action] VALUE[build]
     DEBUG |   76 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - CONF[CMDLINE] PARAM[config] VALUE[config/blog.json]
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - Service[DB] registered
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - Service[Backend] registered
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.091 | [CONTROLLER] - Service[Frontend] registered
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Service[Builder] registered
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Service[Workflow] registered
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Getting service 'Workflow'
     DEBUG |  114 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Service 'Workflow' started
     DEBUG |  146 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Executing KB4IT action 'build'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Getting service 'Backend'
     DEBUG |   44 | Backend              | 20/02/2026 23:57:04.092 | CONF[REPO] Config file: /home/runner/work/blog/blog/config/blog.json
     DEBUG |   46 | Backend              | 20/02/2026 23:57:04.092 | CONF[REPO] Configuration loaded successfully
     DEBUG |   90 | Backend              | 20/02/2026 23:57:04.092 | CONF[APP] LOG_FILE[/home/runner/work/blog/blog/var/log/kb4it.log]
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Getting service 'DB'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Getting service 'Backend'
     DEBUG |  114 | KB4IT                | 20/02/2026 23:57:04.092 | [CONTROLLER] - Service 'DB' started
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Getting service 'Builder'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Getting service 'DB'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Getting service 'Backend'
     DEBUG |  114 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Service 'Builder' started
     DEBUG |  124 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Service[Processor] registered
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Getting service 'Processor'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Getting service 'Backend'
     DEBUG |  108 | KB4IT                | 20/02/2026 23:57:04.093 | [CONTROLLER] - Getting service 'DB'
     DEBUG |  165 | Backend              | 20/02/2026 23:57:04.093 | [CONF] - Loading KBDICT from /home/runner/work/blog/blog/var/db/kbdict.json
     DEBUG |  174 | Backend              | 20/02/2026 23:57:04.093 | [CONF] - Current kbdict entries: 2
